Name,Speed,Acceleration,Weight,Handling,Traction,Mini-Turbo,Total
Baby Daisy,2.25,3.25,2.25,4.75,4.5,3,20
Baby Luigi,2.25,3.25,2.25,4.75,4.5,3,20
Baby Mario,2.25,3.25,2.25,4.75,4.5,3,20
Baby Peach,2.25,3.25,2.25,4.75,4.5,3,20
Baby Rosalina,2.25,3.25,2.25,4.75,4.5,3,20
Lemmy,2.25,3.25,2.25,4.75,4.5,3,20
Mii FW,2.25,3.25,2.25,4.75,4.5,3,20
Koopa Troopa,2.75,3,2.75,4.25,4.25,2.75,19.75
Lakitu,2.75,3,2.75,4.25,4.25,2.75,19.75
Larry,2.75,3,2.75,4.25,4.25,2.75,19.75
Shy Guy,2.75,3,2.75,4.25,4.25,2.75,19.75
Toad,2.75,3,2.75,4.25,4.25,2.75,19.75
Toadette,2.75,3,2.75,4.25,4.25,2.75,19.75
Wendy,2.75,3,2.75,4.25,4.25,2.75,19.75
Daisy,3.25,2.75,3.25,3.75,4,2.5,19.5
Peach,3.25,2.75,3.25,3.75,4,2.5,19.5
Yoshi,3.25,2.75,3.25,3.75,4,2.5,19.5
Iggy,3.75,2.5,3.75,3.25,3.75,2.25,19.25
Ludwig,3.75,2.5,3.75,3.25,3.75,2.25,19.25
Luigi,3.75,2.5,3.75,3.25,3.75,2.25,19.25
Mario,3.75,2.5,3.75,3.25,3.75,2.25,19.25
Mii Md,3.75,2.5,3.75,3.25,3.75,2.25,19.25
Donkey Kong,4.25,2.25,4.25,2.75,3.5,1.75,18.75
Mii Lg,4.25,2.25,4.25,2.75,3.5,1.75,18.75
Rosalina,4.25,2.25,4.25,2.75,3.5,1.75,18.75
Roy,4.25,2.25,4.25,2.75,3.5,1.75,18.75
Waluigi,4.25,2.25,4.25,2.75,3.5,1.75,18.75
Metal Mario,4.25,2,4.75,2.75,3.25,1.75,18.75
Pink Gold Peach,4.25,2,4.75,2.75,3.25,1.75,18.75
Bowser,4.75,2,4.75,2.25,3.25,1.75,18.75
Morton,4.75,2,4.75,2.25,3.25,1.75,18.75
Wario,4.75,2,4.75,2.25,3.25,1.75,18.75
