Name,Speed,Acceleration,Weight,Handling,Traction,Mini-Turbo,Total
Biddybuggy,-0.75,1.25,-0.5,0.5,-0.25,1,1.25
Landship,-0.75,1.25,-0.5,0.5,-0.25,1,1.25
Mr. Scooty,-0.75,1.25,-0.5,0.5,-0.25,1,1.25
Comet,0,0.75,-0.25,0.75,-1.25,0.5,0.5
Sports Bike,0,0.75,-0.25,0.75,-1.25,0.5,0.5
Jet Bike,0,0.75,-0.25,0.75,-1.25,0.5,0.5
Yoshi Bike,0,0.75,-0.25,0.75,-1.25,0.5,0.5
Pipe Frame,0,0.25,-0.25,0.5,-0.5,0.25,0.25
Standard Bike,0,0.25,-0.25,0.5,-0.5,0.25,0.25
Flame Rider,0,0.25,-0.25,0.5,-0.5,0.25,0.25
Varmint,0,0.25,-0.25,0.5,-0.5,0.25,0.25
Wild Wiggler,0,0.25,-0.25,0.5,-0.5,0.25,0.25
Standard Kart,0,0,0,0,0,0,0
Cat Cruiser,0,0,0,0,0,0,0
Prancer,0,0,0,0,0,0,0
Sneeker,0,0,0,0,0,0,0
The Duke,0,0,0,0,0,0,0
Teddy Buggy,0,0,0,0,0,0,0
Mach 8,0.5,-0.25,0.25,0,-0.5,-0.5,-0.5
Steel Driver,0,-0.5,0.5,-0.5,0.5,-0.75,-0.75
Tri-Speeder,0,-0.5,0.5,-0.5,0.5,-0.75,-0.75
Badwagon,0,-0.5,0.5,-0.5,0.5,-0.75,-0.75
Standard ATV,0,-0.5,0.5,-0.5,0.5,-0.75,-0.75
Circuit Special,0.5,-0.25,0.25,0,-1,-0.5,-1
Sports Coupe,0.5,-0.25,0.25,0,-1,-0.5,-1
Gold Standard,0.5,-0.25,0.25,0,-1,-0.5,-1
